NAME,Median_Income,state,county,Tract
"Census Tract 4313.02, Cook County, Illinois",26389,17,031,431302
"Census Tract 8263.03, Cook County, Illinois",53433,17,031,826303
"Census Tract 8263.04, Cook County, Illinois",46364,17,031,826304
"Census Tract 8264.01, Cook County, Illinois",47004,17,031,826401
"Census Tract 8264.02, Cook County, Illinois",54038,17,031,826402
"Census Tract 8265, Cook County, Illinois",42581,17,031,826500
"Census Tract 8266, Cook County, Illinois",38920,17,031,826600
"Census Tract 8267, Cook County, Illinois",43635,17,031,826700
"Census Tract 8268, Cook County, Illinois",48293,17,031,826800
"Census Tract 8269.01, Cook County, Illinois",21048,17,031,826901
"Census Tract 8269.02, Cook County, Illinois",33967,17,031,826902
"Census Tract 8270, Cook County, Illinois",34280,17,031,827000
"Census Tract 8271, Cook County, Illinois",19487,17,031,827100
"Census Tract 8272, Cook County, Illinois",50000,17,031,827200
"Census Tract 8273, Cook County, Illinois",21778,17,031,827300
"Census Tract 8274, Cook County, Illinois",28379,17,031,827400
"Census Tract 8275, Cook County, Illinois",47407,17,031,827500
"Census Tract 8276, Cook County, Illinois",39643,17,031,827600
"Census Tract 8277, Cook County, Illinois",46303,17,031,827700
"Census Tract 8278.01, Cook County, Illinois",65833,17,031,827801
"Census Tract 8278.02, Cook County, Illinois",78482,17,031,827802
"Census Tract 8278.04, Cook County, Illinois",63036,17,031,827804
"Census Tract 8278.05, Cook County, Illinois",63261,17,031,827805
"Census Tract 8279.01, Cook County, Illinois",83333,17,031,827901
"Census Tract 8279.02, Cook County, Illinois",58625,17,031,827902
"Census Tract 8280, Cook County, Illinois",55299,17,031,828000
"Census Tract 8281, Cook County, Illinois",53940,17,031,828100
"Census Tract 8282.01, Cook County, Illinois",65000,17,031,828201
"Census Tract 8282.02, Cook County, Illinois",62500,17,031,828202
"Census Tract 8283, Cook County, Illinois",55917,17,031,828300
"Census Tract 8284.01, Cook County, Illinois",67750,17,031,828401
"Census Tract 8284.02, Cook County, Illinois",47656,17,031,828402
"Census Tract 8285.03, Cook County, Illinois",44000,17,031,828503
"Census Tract 8285.04, Cook County, Illinois",46851,17,031,828504
"Census Tract 8285.05, Cook County, Illinois",62346,17,031,828505
"Census Tract 8285.07, Cook County, Illinois",76154,17,031,828507
"Census Tract 8285.08, Cook County, Illinois",42180,17,031,828508
"Census Tract 8286.01, Cook County, Illinois",86671,17,031,828601
"Census Tract 8286.02, Cook County, Illinois",97135,17,031,828602
"Census Tract 8287.01, Cook County, Illinois",62021,17,031,828701
"Census Tract 8287.02, Cook County, Illinois",62286,17,031,828702
"Census Tract 8288.01, Cook County, Illinois",99727,17,031,828801
"Census Tract 8288.02, Cook County, Illinois",72074,17,031,828802
"Census Tract 8289, Cook County, Illinois",54115,17,031,828900
"Census Tract 8290, Cook County, Illinois",20266,17,031,829000
"Census Tract 8291, Cook County, Illinois",26938,17,031,829100
"Census Tract 8292, Cook County, Illinois",49358,17,031,829200
"Census Tract 4314, Cook County, Illinois",36466,17,031,431400
"Census Tract 4401.01, Cook County, Illinois",23625,17,031,440101
"Census Tract 4401.02, Cook County, Illinois",41120,17,031,440102
"Census Tract 4402.01, Cook County, Illinois",35222,17,031,440201
"Census Tract 4402.02, Cook County, Illinois",31364,17,031,440202
"Census Tract 4403, Cook County, Illinois",59128,17,031,440300
"Census Tract 4406, Cook County, Illinois",67813,17,031,440600
"Census Tract 4407, Cook County, Illinois",65903,17,031,440700
"Census Tract 4408, Cook County, Illinois",26985,17,031,440800
"Census Tract 4409, Cook County, Illinois",36538,17,031,440900
"Census Tract 4503, Cook County, Illinois",50022,17,031,450300
"Census Tract 4601, Cook County, Illinois",43393,17,031,460100
"Census Tract 4602, Cook County, Illinois",24263,17,031,460200
"Census Tract 4603.01, Cook County, Illinois",34186,17,031,460301
"Census Tract 4603.02, Cook County, Illinois",31885,17,031,460302
"Census Tract 4604, Cook County, Illinois",48542,17,031,460400
"Census Tract 4605, Cook County, Illinois",61896,17,031,460500
"Census Tract 4608, Cook County, Illinois",28283,17,031,460800
"Census Tract 4610, Cook County, Illinois",16225,17,031,461000
"Census Tract 4701, Cook County, Illinois",39611,17,031,470100
"Census Tract 4801, Cook County, Illinois",57024,17,031,480100
"Census Tract 4802, Cook County, Illinois",49286,17,031,480200
"Census Tract 4803, Cook County, Illinois",49000,17,031,480300
"Census Tract 4804, Cook County, Illinois",74597,17,031,480400
"Census Tract 4805, Cook County, Illinois",49044,17,031,480500
"Census Tract 4902, Cook County, Illinois",57731,17,031,490200
"Census Tract 4905, Cook County, Illinois",58295,17,031,490500
"Census Tract 4906, Cook County, Illinois",47542,17,031,490600
"Census Tract 4907, Cook County, Illinois",45647,17,031,490700
"Census Tract 4908, Cook County, Illinois",41620,17,031,490800
"Census Tract 4909.01, Cook County, Illinois",31406,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",53229,17,031,490902
"Census Tract 4910, Cook County, Illinois",23255,17,031,491000
"Census Tract 4911, Cook County, Illinois",45875,17,031,491100
"Census Tract 4912, Cook County, Illinois",43667,17,031,491200
"Census Tract 4913, Cook County, Illinois",37279,17,031,491300
"Census Tract 4914, Cook County, Illinois",33999,17,031,491400
"Census Tract 5001, Cook County, Illinois",61531,17,031,500100
"Census Tract 5002, Cook County, Illinois",33909,17,031,500200
"Census Tract 5003, Cook County, Illinois",44538,17,031,500300
"Census Tract 5101, Cook County, Illinois",35417,17,031,510100
"Census Tract 5102, Cook County, Illinois",41250,17,031,510200
"Census Tract 5103, Cook County, Illinois",26673,17,031,510300
"Census Tract 5201, Cook County, Illinois",65000,17,031,520100
"Census Tract 5202, Cook County, Illinois",41267,17,031,520200
"Census Tract 5203, Cook County, Illinois",42728,17,031,520300
"Census Tract 5204, Cook County, Illinois",42149,17,031,520400
"Census Tract 8293.01, Cook County, Illinois",74087,17,031,829301
"Census Tract 8293.02, Cook County, Illinois",40143,17,031,829302
"Census Tract 8294.01, Cook County, Illinois",30208,17,031,829401
"Census Tract 8294.02, Cook County, Illinois",42130,17,031,829402
"Census Tract 8295, Cook County, Illinois",45321,17,031,829500
"Census Tract 8296, Cook County, Illinois",53361,17,031,829600
"Census Tract 8297, Cook County, Illinois",42064,17,031,829700
"Census Tract 8298, Cook County, Illinois",104083,17,031,829800
"Census Tract 8299.02, Cook County, Illinois",81221,17,031,829902
"Census Tract 8299.03, Cook County, Illinois",78032,17,031,829903
"Census Tract 8299.04, Cook County, Illinois",89071,17,031,829904
"Census Tract 8300.01, Cook County, Illinois",41071,17,031,830001
"Census Tract 8300.03, Cook County, Illinois",99861,17,031,830003
"Census Tract 8300.04, Cook County, Illinois",99866,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",92153,17,031,830005
"Census Tract 8300.06, Cook County, Illinois",55634,17,031,830006
"Census Tract 8300.07, Cook County, Illinois",51438,17,031,830007
"Census Tract 8300.08, Cook County, Illinois",95724,17,031,830008
"Census Tract 8301, Cook County, Illinois",86106,17,031,830100
"Census Tract 8302.01, Cook County, Illinois",51571,17,031,830201
"Census Tract 8302.02, Cook County, Illinois",80372,17,031,830202
"Census Tract 8303, Cook County, Illinois",48491,17,031,830300
"Census Tract 8304, Cook County, Illinois",55053,17,031,830400
"Census Tract 8305, Cook County, Illinois",37306,17,031,830500
"Census Tract 8306, Cook County, Illinois",53177,17,031,830600
"Census Tract 8307, Cook County, Illinois",59226,17,031,830700
"Census Tract 8308, Cook County, Illinois",76968,17,031,830800
"Census Tract 8309, Cook County, Illinois",113359,17,031,830900
"Census Tract 8310, Cook County, Illinois",159375,17,031,831000
"Census Tract 8311, Cook County, Illinois",76754,17,031,831100
"Census Tract 8312, Cook County, Illinois",45724,17,031,831200
"Census Tract 8313, Cook County, Illinois",46850,17,031,831300
"Census Tract 8314, Cook County, Illinois",24780,17,031,831400
"Census Tract 8315, Cook County, Illinois",59240,17,031,831500
"Census Tract 8316, Cook County, Illinois",54755,17,031,831600
"Census Tract 8317, Cook County, Illinois",41786,17,031,831700
"Census Tract 8318, Cook County, Illinois",57500,17,031,831800
"Census Tract 8319, Cook County, Illinois",113889,17,031,831900
"Census Tract 8320, Cook County, Illinois",114479,17,031,832000
"Census Tract 8321, Cook County, Illinois",80785,17,031,832100
"Census Tract 8322, Cook County, Illinois",125833,17,031,832200
"Census Tract 8323, Cook County, Illinois",110943,17,031,832300
"Census Tract 8324, Cook County, Illinois",117853,17,031,832400
"Census Tract 8325, Cook County, Illinois",140592,17,031,832500
"Census Tract 8326, Cook County, Illinois",154191,17,031,832600
"Census Tract 8329, Cook County, Illinois",63587,17,031,832900
"Census Tract 5205, Cook County, Illinois",66164,17,031,520500
"Census Tract 5206, Cook County, Illinois",60871,17,031,520600
"Census Tract 5301, Cook County, Illinois",33882,17,031,530100
"Census Tract 5302, Cook County, Illinois",45074,17,031,530200
"Census Tract 5303, Cook County, Illinois",45114,17,031,530300
"Census Tract 5304, Cook County, Illinois",71417,17,031,530400
"Census Tract 5305.01, Cook County, Illinois",45651,17,031,530501
"Census Tract 5305.02, Cook County, Illinois",65000,17,031,530502
"Census Tract 5305.03, Cook County, Illinois",48980,17,031,530503
"Census Tract 5306, Cook County, Illinois",35000,17,031,530600
"Census Tract 5401.01, Cook County, Illinois",17258,17,031,540101
"Census Tract 5401.02, Cook County, Illinois",27694,17,031,540102
"Census Tract 5501, Cook County, Illinois",54970,17,031,550100
"Census Tract 5502, Cook County, Illinois",55625,17,031,550200
"Census Tract 5601, Cook County, Illinois",53125,17,031,560100
"Census Tract 5602, Cook County, Illinois",59107,17,031,560200
"Census Tract 5603, Cook County, Illinois",53286,17,031,560300
"Census Tract 5604, Cook County, Illinois",61719,17,031,560400
"Census Tract 5607, Cook County, Illinois",68320,17,031,560700
"Census Tract 5608, Cook County, Illinois",85304,17,031,560800
"Census Tract 5609, Cook County, Illinois",105129,17,031,560900
"Census Tract 5610, Cook County, Illinois",99274,17,031,561000
"Census Tract 5611, Cook County, Illinois",88070,17,031,561100
"Census Tract 5701, Cook County, Illinois",61042,17,031,570100
"Census Tract 5702, Cook County, Illinois",47198,17,031,570200
"Census Tract 5703, Cook County, Illinois",45038,17,031,570300
"Census Tract 5704, Cook County, Illinois",61275,17,031,570400
"Census Tract 5705, Cook County, Illinois",43380,17,031,570500
"Census Tract 5801, Cook County, Illinois",43333,17,031,580100
"Census Tract 5802, Cook County, Illinois",41837,17,031,580200
"Census Tract 5803, Cook County, Illinois",63146,17,031,580300
"Census Tract 5804, Cook County, Illinois",51434,17,031,580400
"Census Tract 5805.01, Cook County, Illinois",41711,17,031,580501
"Census Tract 5805.02, Cook County, Illinois",37596,17,031,580502
"Census Tract 5806, Cook County, Illinois",41983,17,031,580600
"Census Tract 5807, Cook County, Illinois",51826,17,031,580700
"Census Tract 5808, Cook County, Illinois",56000,17,031,580800
"Census Tract 5905, Cook County, Illinois",69550,17,031,590500
"Census Tract 5906, Cook County, Illinois",62625,17,031,590600
"Census Tract 5907, Cook County, Illinois",65491,17,031,590700
"Census Tract 6004, Cook County, Illinois",52717,17,031,600400
"Census Tract 6006, Cook County, Illinois",38566,17,031,600600
"Census Tract 6007, Cook County, Illinois",51161,17,031,600700
"Census Tract 6009, Cook County, Illinois",61120,17,031,600900
"Census Tract 6103, Cook County, Illinois",29867,17,031,610300
"Census Tract 6104, Cook County, Illinois",42518,17,031,610400
"Census Tract 6108, Cook County, Illinois",61591,17,031,610800
